a little,অল্প-স্বল্প
sweep away,দূরে কুড়ান
sweep board,মিষ্টির বোর্ড
sweep down,নিচে কুড়ান
sweep forward,এগিয়ে কুড়ান
sweep hand,মিষ্টির হাত
sweep head,মিষ্টির মাথা
sweep in,সহসা প্রবেশ করা
sweep mill,মিষ্টির মিল
sweep net,মিষ্টির নেট
sweep off,বন্ধ কুড়ান
sweep out,কুড়ান আউট
sweep over,ওভার কুড়ান
sweep plate,মিষ্টির প্লেট
sweep point,মিষ্টির বিন্দু
sweep rake,মিষ্টির মই দিয়া আহরণ করা
sweep smelter,মিষ্টির গলানোর
sweep through,মাধ্যমে কুড়ান
sweep ticket,মিষ্টির টিকিট
sweep up,আপ কুড়ান
sweeping away,দূরে নির্বিচার
sweeping conquest,সুদূরপ্রসারী বিজয়
sweeping net,সুদূরপ্রসারী নেট
sweeping over,নির্বিচার
sweeping process,সুদূরপ্রসারী প্রক্রিয়া
sweeping score,সুদূরপ্রসারী স্কোর
sweet acacia,মিষ্টি বাবলা
sweet balm,মিষ্টি সুগন্ধ পদার্থ
sweet basil,মিষ্টি পুদিনা
sweet bay,মিষ্টি বে
sweet bells,মিষ্টি ঘন্টাধ্বনি
sweet birch,মিষ্টি বার্চ
sweet bread,মিষ্টি রুটি
sweet calabash,মিষ্টি লাউ
sweet calamus,মিষ্টি কলম
sweet cassava,মিষ্টি কাসাভা
sweet cherry,মিষ্টি চেরি
sweet chestnut,মিষ্টি বাদামী
sweet cider,মিষ্টি সিডার
sweet clover,মিষ্টি ক্লোভার
sweet coltsfoot,মিষ্টি ফুলবিশেষ
sweet corn,মিষ্টি ভুট্টা
sweet cup,মিষ্টি কাপ
sweet curd,চিনিপাতা দই
sweet elder,মিষ্টি অগ্রজ
sweet fern,মিষ্টি ফার্ন
sweet flag,মিষ্টি পতাকা
sweet grass,মিষ্টি ঘাস
sweet gum,মিষ্টি গাম
sweet hearted,মিষ্টি উদার
sweet lemon,মিষ্টি লেবু
sweet lime,মিষ্টি লেবু
sweet maker,মিষ্টি মেকার
sweet marjoram,মিষ্টি মারজোরাম
sweet melon,মিষ্টি তরমুজ
sweet oil,মিষ্টি তেল
sweet orange,মিষ্টি কমলা
sweet pea,মিষ্টি মটর
sweet pepper,মিষ্টি মরিচ
sweet potato,মিষ্টি আলু
sweet rocket,মিষ্টি রকেট
sweet roll,মিষ্টি রোল
sweet scabious,মিষ্টি খোসযুক্ত
sweet shrub,মিষ্টি গুল্ম
sweet sorghum,মিষ্টি জোয়ার
sweet stand,মিষ্টি স্ট্যান্ড
sweet stuff,মিঠাই
sweet sultan,মিষ্টি সুলতান
sweet talk,মিষ্টি কথা
sweet talker,মিষ্টভাষী
sweet tooth,সুন্দর দাঁত
sweet vermouth,মিষ্টি ভার্মাউথ
sweet vetch,মিষ্টি ছোলা
sweet violet,মিষ্টি ভায়োলেট
sweet wattle,মিষ্টি কঞ্চি
sweet william,মিষ্টি উইলিয়াম
sweet wormwood,মিষ্টি সোমরাজ
sweetening materials,মধুরতা সামগ্রী
sweetie wife,প্রেমিকাকে স্ত্রী
sweet-potato borer,মিষ্টি আলু ছিদ্রকারী
sweet-potato scurf,মিষ্টি আলু মামড়ি
sweet-potato weevil,মিষ্টি আলু পোকা
sweet-potato worm,মিষ্টি আলু পোকা
sweet-scented geranium,মিষ্টি সুগন্ধ আকৃতির ফল দেয়
swell box,চিতান বক্স
swell dash,চিতান ড্যাশ
swell doodle,চিতান সময় নষ্ট করা
swell organ,চিতান অঙ্গ
swell up,উখলান
swelled head,ফুলে মাথা
swelled up,উছল
swelling up,উছল
swept away,মোটামুটি দূরে
swept wing,ভেসে গরূৎ
swift boat,দ্রুতগতি নৌকা
swift fox,দ্রুতগতি শিয়াল
swift shrike,দ্রুতগতি শ্রাইক্
swill down,নিচে চকচক করে গেলা
swim across,সাঁতরে
swim bladder,স্নানের থলি
swim bow,স্নানের নম
swim in,সাঁতার কাটা
swim meet,স্নানের পূরণের
swimmer's itch,সাঁতারু এর পাঁচড়া
swimming bath,সুইমিং গোসলখানা''র
swimming belt,সুইমিং বেল্ট
swimming bladder,সাঁতার মূত্রাশয়
swimming cap,সাঁতার টুপি
swimming contest,সুইমিং প্রতিযোগীতার
swimming costume,সাঁতারের পোশাক
swimming crab,সুইমিং কাঁকড়া
swimming float,সুইমিং ভাসা
swimming hole,সাঁতার গর্ত
swimming kick,সুইমিং পদাঘাত
swimming pool,সুইমিং পুল
swimming ring,সুইমিং রিং
swimming trunks,সাঁতারের পোষাক
swine cress,সোয়াইন শাক
swine erysipelas,সোয়াইন বাতবিসর্পরোগ
swine fever,সোয়াইন জ্বর
swine flu,সোয়াইন ফ্লু
swine grass,সোয়াইন ঘাস
swine hull,সোয়াইন জাহাজের কাঠাম
swine itch,সোয়াইন পাঁচড়া
swine like,মত সোয়াইন
swine plague,সোয়াইন প্লেগ
swine thistle,সোয়াইন কাঁটাগাছ
swing about,সম্পর্কে দোল
swing around,প্রায় দোল
swing back,ফিরে দোল
swing bridge,দোল সেতু
swing chair,সুইং চেয়ার
swing door,কপাটিকা দরজা
swing drawbridge,দোল টানাসেতু
swing gate,সুইং গেট
swing jack,দোল জ্যাক
swing music,দোল সঙ্গীত
swing oneself,নিজের দোল
swing out,আউট দোল
swing over,ওভার দোল
swing team,দোল দল
swing train,দোল ট্রেন
swing tree,দোল গাছ
swing voter,সুইং ভোটার
swinging chad,ঝুলন চাদ
swinging door,ঝুলন দরজা
swinging post,ঝুলন পোস্ট
swirl pot,মোচড় পাত্র
swirl up,আপ মোচড়
swiss canton,সুইস ক্যান্টন
swiss cheese,সুইস পনির
swiss confederation,সুইস কনফেডারেশন
swiss people,সুইস মানুষ
swiss pine,সুইস পাইন
swiss roll,সুইস রোল
swiss steak,সুইস স্টেক
switch cane,সুইচ বেত
switch cast,সুইচ নিক্ষিপ্ত
switch engine,সুইচ ইঞ্জিন
switch off,বন্ধ
switch on,চালু করা
switch stand,সুইচ স্ট্যান্ড
switch tender,সুইচ স্নেহপূর্ণ
switchblade knife,সুইচ আছে ছুরি
switchboard operator,সুইচবোর্ড অপারেটর
switched on,ওয়াকিবহাল
swivel block,সুইভেল ব্লক
swivel chain,সুইভেল শৃঙ্খল
swivel chair,সুইভেল চেয়ার
swivel eyed,সুইভেল নেত্রবিশিষ্ট
swivel pin,সুইভেল পিন
swivel shuttle,সুইভেল শাটল
swivel union,সুইভেল ইউনিয়ন
swizzle stick,পাঁচমিশালী মদ্যবিশেষ লাঠি
swollen head,ফোলা মাথা
swoop down,ছোঁ মারা
swoop on,অতর্কিত আক্রমন করা
swoop up,আপ ছোঁ
sword arm,তলোয়ার বাহু
sword bayonet,তলোয়ার সঙ্গিন
sword bean,তলোয়ার শিম
sword belt,তলোয়ার বেল্ট
sword blade,তলোয়ার ফলক
sword breaker,তলোয়ার ঊর্মিভঙ্গ
sword cane,গুপ্তি
sword cutler,তলোয়ার ছুরিবিক্রেতা
sword cutlery,তলোয়ার কোলাকুলি
sword dance,তলোয়ার নাচ
sword dancer,তলোয়ার নর্তকী
sword dancing,তলোয়ার নাচ
sword dollar,তলোয়ার ডলার
sword fight,অসিক্রীড়া
sword flag,তলোয়ার পতাকা
sword flax,তলোয়ার শণ
sword grass,তলোয়ার ঘাস
sword guard,তলোয়ার পাহারা
sword hanger,তলোয়ার জল্লাদ
sword hilt,তলোয়ার দামাট
sword knot,তলোয়ার গিঁট
sword law,তলোয়ার আইন
sword like,মত তলোয়ার
sword lily,তলোয়ার কমল
sword maker,তলোয়ার সৃষ্টিকর্তা
sword making,তলোয়ার তৈরীর
sword mat,তলোয়ার মাদুর
sword sedge,তলোয়ার শর
sword service,তলোয়ার সেবা
sword side,তলোয়ার পাশ
sword stick,তলোয়ার লাঠি
sword swallower,তলোয়ার গিলে ফেলার ভেল্কি দেখায়
sword swallowing,তলোয়ার গিলতে
sword thrust,তলোয়ার খোঁচা
swordfish sucker,এক ধরনের সামুদ্রিক মাছ পায়ী
sworn brothers,প্রাণের বন্ধু
sworn friends,প্রাণের বন্ধু
swot up,আপ খাটুনির
swung dash,একটি চিহ্ন
sycamore anthracnose,ডুমুর অ্যানথ্রাকনোজ
sycamore fig,ডুমুর
sydney silky,সিডনি রেশমী
syllabic script,দলমাত্রিক স্ক্রিপ্ট
syllable name,শব্দাংশ নাম
syllable structure,শব্দাংশ গঠন
sylvester ii,সিলভেস্টার ২
sylvia communis,সিলভিয়া যৌথ
sylvia plath,সিলভিয়া প্লাথ
symbolic letter,অক্ষর
symbolic logic,প্রতীকী যুক্তিবিজ্ঞান
symbolic logician,সিম্বলিক যুক্তিবিদ
symbolic representation,সিম্বলিক উপস্থাপনা
sympathetic strike,সহানুভূতিশীল ধর্মঘট
sympathetic vibration,অনুরণন
sympathize with,সহানুভূতির সাথে
sympathy card,সহানুভূতি কার্ড
sympathy for,সহানুভূতি
sympathy strike,সহানুভূতি ধর্মঘট
sympathy: for,সহানুভূতি.
symphonic music,ঐকতানিক গান
symphonic poem,ঐকতানিক কবিতা
symphony orchestra,সিম্ফনি অর্কেস্ট্রা
symptom complex,উপসর্গ জটিল
synchro flash,ক্যামেরার শাটার টেপার সঙ্গে সঙ্গে ফ্ল্যাশের আলো জ্বলে ওঠার ব্যবস্থা
synchronous converter,সমলয় রূপান্তরকারী
synchronous motor,সমলয় মোটর
synchronous operation,সমলয় অপারেশন
synonym finder,প্রতিশব্দ আবিষ্কর্তা
synoptic gospels,ম্যাথু গসপেলের
synovial fluid,তরল
syntactic category,অন্বিত বিভাগ
syntax checker,সিনট্যাক্স পরীক্ষক
syntax error,বাক্যগঠন ত্রুটি
syntax language,সিনট্যাক্স ভাষা
synthetic fiber,কৃত্রিম তন্তু
synthetic resin,কৃত্রিম রজন
synthetic substance,সিন্থেটিক পদার্থ
synthetic thinking,সিন্থেটিক চিন্তা
syrian bear,সিরিয়ার বিয়ার
syrian desert,সিরিয়ার মরুভূমি
syrian pound,সিরিয় পাউন্ড
system administrator,সিস্টেম এডমিনিস্ট্রেটর
system call,সিস্টেম কল
system clock,সিস্টেম ঘড়ি
system wide,সিস্টেম প্রশস্ত
system wise,সিস্টেম জ্ঞানী
systematic attack,নিয়মানুগ হামলা
systematic person,পদ্ধতিগত ব্যক্তি
systematic desensitization,পদ্ধতিগত সংবেদনশীলতার অভাবের
systemic circulation,পদ্ধতিগত প্রচলন
systems analysis,সিস্টেম অ্যানালাইসিস
systems analyst,সিস্টেম বিশ্লেষক
systems program,সিস্টেম প্রোগ্রাম
systems software,সিস্টেম সফটওয়্যার
systolic murmur,সিস্টোলিক কলকল
systolic pressure,সিস্টোলিক চাপ
syzygium aromaticum,লবঙ্গ
t aint,দাগ
t bar,টি দণ্ড
t bevel,টি বেভেল
t bob,টি বব
t cart,টি ট্রলি
t connector,টি সংযোগকারী
t cross,টি ক্রস
t hinge,টি কবজা
t iron,টি লোহা
t rail,টি রেল
t slot,টি স্লট
t square,টি বর্গক্ষেত্র
t steak,টি স্টেক
t will,টি উইল
tab key,ট্যাব কী
tabby cat,বাদামী রঙের বিড়াল
tabby moth,বৃদ্ধা নারী মথ
tabby weave,বৃদ্ধা নারী বুনা
tabernacle work,আবাস-তাম্বুর কাজ
table base,টেবিল বেস
table board,টেবিল বোর্ড
table book,সুন্দরভাবে প্রকাশিত বই
table clothing,টেবিল পোশাক
table cover,টেবিলের আচ্ছাদনবস্ত্র
table fellowship,টেবিল বন্ধুতা
table game,টেবিল খেলা
table glass,টেবিল গ্লাস
table knife,রাঁধা মাংস কাটিয়া খাইবার ছুরি
table lamp,টেবিল ল্যাম্প
table land,অধিত্যকা
table lifting,টেবিল উত্তোলন
table linen,হাত-মুখ মোছার তোয়ালে
table mate,টেবিল সহচর
table money,পানভোজন দ্বারা সরকারিভাবে অতিথিসত্কারের জন্য ভাতা
table mountain,টেবিল পর্বত
table mustard,টেবিল সরিষা
table napkin,টেবিল রুমাল
table salt,নিমক
table saw,টেবিল দেখেছি
table servant,খানসামা
table service,টেবিল সেবা
table spar,টেবিল শক্ত খুঁটি
table stone,টেবিলস্টোন
table talk,পাঁচমিশালী আলোচনা
table talker,টেবিল গল্পে
table tapping,টেবিল লঘুপাত
table tennis,টেবিল টেনিস
table tilting,টেবিল কাত
table turning,টেবিল বাঁক
table water,পানীয় জল
table wine,টেবিল মদ
tablecloth wise,জ্ঞানী আচ্ছাদনবস্ত্র
tablet triturate,ট্যাবলেট গুঁড়া করা
tabor pipe,মৃদঙ্গ পাইপ
tabula rasa,অলিখিত ফলক
tabular matter,ট্যাবুলার ব্যাপার
tacit consent,মৌন সম্মতি
tacit understanding,লুকোনো বোঝাপড়া
tack comb,পেরেক দিয়া আটকান ঝুঁটি
tack down,নিচে ট্যাক
tack hammer,ট্যাক হাতুড়ি
tack in,এ কর্মপ্রণালী
tack on,কর্মপ্রণালী
tack together,একসঙ্গে ট্যাক
tack welding,পেরেক ঢালাই
tackle block,ব্লক সাজসরঁজাম
tackle board,বোর্ড সাজসরঁজাম
tackle fall,সাজসরঁজাম পতন
tackle house,সাজসরঁজাম ঘর
tackling graft,দুর্নীতি
tact invariant,পরিবর্তিত বিচক্ষণতা
tactical intelligence,কৌশলী বুদ্ধি
tactical maneuver,কৌশলী রণকৌশল
tactical manoeuvre,কৌশলী রণকৌশল
tactical warning,কৌশলী সতর্কতা
tactile property,স্পৃশ্য সম্পত্তি
tactile sensation,স্পৃশ্য সংবেদন
tactual exploration,স্পর্শজনিত অন্বেষণ
tactual sensation,স্পর্শজনিত সংবেদন
tadpole shrimp,বেঙাচি চিংড়ি
taffeta weave,চেলি বুনা
taffrail log,জাহাজের পশ্চাদ্ভাগের ঊর্ধ্বদেশ লগ
taffy toffy,টফি
taffy wise,ত্তয়েল্সের লোক জ্ঞানী
tag day,ট্যাগ দিন
tag end,ট্যাগ শেষ
tag on,উপর ট্যাগ
tagetes patula,গাঁদা
tagging program,ট্যাগিং প্রোগ্রাম
tai chi,তাই চি
tai lue,তাই লু
tail assembly,পুচ্ছ সমাবেশ
tail away,বিক্ষিপ্তভাবে ছড়াইয়া পড়া
tail barley,লেজ বার্লি
tail bay,লেজ উপসাগর
tail block,লেজ ব্লক
tail coat,লম্বা ফালি করা প্রান্তবিশিষ্ট জামা
tail end,লেজর শেষ অংশ
tail feather,পুচ্ছ পালক
tail fin,পুচ্ছ পাখনা
tail foremost,লেজ সর্বাগ্রে
tail grape,লেজ দ্রাক্ষা
tail gunner,লেঙ্গুড় গোলন্দাজ
tail house,লেজ ঘর
tail lamp,গাড়ীর পশ্চাদ্ভাগের বাতি
tail light,শেষের আলো
tail lights,ব্যাক লাইট
tail lock,লেজ লক
tail off,লেঙ্গুড় বন্ধ
tail pipe,লেঙ্গুড় নল
tail pit,লেঙ্গুড় পিট
tail plane,টেইলপ্লেন
tail print,লেজ মুদ্রণ
tail rhyme,লেজ ছড়া
tail rotor,পুচ্ছ রটার
tail skid,লেজ নিরোধী
tail unit,লেজ ইউনিট
tail water,লেজ পানি
tail wheel,পুচ্ছ চাকা
tail wind,অনুকূল বাতাস
tailed toad,লেজ গুটাইয়া পলাইয়া যাওয়া ঘৃণ্য
tailor warbler,দরজী গায়ক
tailor's chalk,দর্জি এর খড়ি
tailor's tack,দর্জি এর ট্যাক
taiwan dollar,তাইওয়ান ডলার
taj mahal,তাজমহল
take aback,পেছন ফেরা
take ablution,ওজু করা
take account,হিসাব নেওয়া
take across,পার করা
take action,পদক্ষেপ গ্রহণ করুন
take advantage,সুবিধা গ্রহণ
take advice,পরামর্শ লত্তয়া
take after,সদৃশ হওয়া
take aim,লক্ষ্য গ্রহণ করা
take air,বায়ুসেবন করা
take along,ধরে নিতে
take amiss,উলটা বোঝা
take apart,আলাদা করা
take arms,অস্ত্র নিতে
take aside,সরিয়ে নেওয়া
take away,সরিয়ে নেওয়া
take back,প্রত্যাহার করা
take badly,খারাপভাবে নেওয়া
take birth,জন্ম লত্তয়া
take breath,থামা
take captive,বন্দী নিতে
take care,যত্ন নিবেন
take chances,সুযোগ নাও
take charge,ভার গ্রহণ
take command,কমান্ড গ্রহণ
take control,দখল করা
take courage,সাহসী হত্তয়া
take down,লিখে রাখা লিখিত ভাবে
take effect,কার্যকর
take exception,আপত্তি করা
take fire,আঁচ ত্তঠা
take five,পাঁচটি নাও
take flight,ছুটিয়া পলাইয়া যাইবার চেষ্টা করা
take food,খাদ্য গ্রহণ
take for,ভুল ধরে নেওয়া
take form,ফর্ম নিতে
take fright,ভড়কান
take from,থেকে নিতে
take heart,হৃদয় নিন
take heed,চিন্তা - ভাবনা
take hold,ধরে নিতে
take home,বাড়িতে নিয়ে
take ill,অসুস্থ নেওয়া
take in,[কাপড়] সংকীর্ণ বানানো
take ingest,পাকস্থলিতে গ্রহণ নেওয়া
take interest,গা করা
take into,মধ্যে নিতে
take leave,ছুটি নাও
take liberties,সম্পূর্ণ বদলাইয়া দেত্তয়া
take life,মেরে ফেলা
take measures,উপায় অবলম্বন করা
take medicine,ওষুধ খাওয়া
take note,নোট নাও
take notes,টুকে নাও
take notice,লক্ষ্য করা
take off,"উড্ডয়ন করা, ওড়া"
take offense,অসন্তুষ্ট হত্তয়া
take office,অফিস নেওয়া
take on,"ক্ষেপে যাওয়া, তেলেবেগুনে জ্বলে উঠা"
take orders,আদেশ নিতে
take out,[শরীরের ভেতরের কোন অংশ] তুলে ফেলা
take over,গ্রহণ করবেন
take pains,যন্ত্রনা নিতে
take part,অংশগ্রহণ করা
take particulars,বিবরণ নিতে
take permission,অনুমতি লত্তয়া
take photograph,ছবি তোলা
take photos,ছবি তোলা
take pictures,ছবি তোলা
take place,ঘটা
take pleasure,আনন্দ নাও
take possession,বেদখল করা
take precautions,পূর্ব সতর্কতা গ্রহন করুন
take precedence,অগ্রাধিকার
take pride,গর্ব করা
take prisoner,কয়েদী ধরা
take refuge,আশ্রয় নিতে
take rest,আয়েশ করা
take revenge,প্রতিশোধ লওয়া
take root,মুল থেকে
take shape,গঠিত হত্তয়া
take shelter,আশ্রয় নিতে
take snuff,নাস লওয়া
take stage,পর্যায়ে নিতে
take steps,পদক্ষেপ নাও
take stock,মূল্যগণনা করা
take ten,দশ নিতে
take through,গ্রহণ করা
take tiffin,জল খাত্তয়া
take to,"addict, আসক্ত হওয়া/অভ্যস্ত হওয়া"
take trouble,কষ্ট করা
take turns,পালাক্রমে বদলী করা
take umbrage,ছায়া নিতে
take up,"accept a suggestion, offer, idea, or challenge, গ্রহণ করা"
take votes,ভোট লত্তয়া
take warning,সতর্কতা নেওয়া
take water,জল লত্তয়া
take wife,বিবাহ করা
take wing,উড়িতে আরম্ভ করা
take wings,উইংস নিতে
take-home pay,হোম বেতন নিতে
taken aback,হতচকিত
taken away,দূরে নিয়ে যাওয়া
taken up,পর্যন্ত নেওয়া
taken with,নিয়ে
takeoff booster,টেকঅফের সহায়তাকারী
takeoff rocket,টেকঅফের রকেট
takeout food,খাদ্য গ্রহণ
takeover arbitrage,টেকওভারের সালিসি
takeover attempt,টেকওভারের প্রচেষ্টা
takeover bid,টেকওভারের দর
takeover target,টেকওভারের টার্গেট
takes after,সদৃশ
taking apart,নিন্দা করা
taking care,তত্ত্বাবধান
taking charge,চার্জ গ্রহণ
taking hold,হোল্ড গ্রহণ
taking off,নির্মোচন
taking out,গ্রহণ
taking over,থা
taking pains,যন্ত্রনা গ্রহণ
taking part,অংশ নেওয়া
taking possession,দখল
taking refuge,আশ্রয় গ্রহণ
taking root,রুট গ্রহণ
talc bag,অভ্রক ব্যাগ
talc facing,অভ্রক ফেসিং
talc powder,ট্যালকাম পাউডার
talcum powder,সুগন্ধিত পাউডার
talent agent,প্রতিভা এজেন্ট
talented girl,প্রতিভাবান মেয়ে
talented man,প্রতিভাবান মানুষ
talented person,প্রতিভাবান ব্যক্তি
talk about,সম্পর্কে কথা
talk back,ফিরে কথা
talk buncombe,কপচান
talk dirty,নোংরা কথা
talk down,আস্তে বল
talk foolishly,বোকার মত কথা
talk into,কোনো মাধ্যমে কথা বলা
talk like,মত কথা
talk nonsense,আবল-তাবল বকা
talk of,কথা বলা (কোন জিনিস)
talk over,"discuss , আলোজচনা করা"
talk politics,টক রাজনীতি
talk round,বৃত্তাকার
talk shop,দোকানদারি কথাবার্তা বলা
talk show,আলোচনা অনুষ্ঠান
talk tall,অতিরঞ্জিত করা
talk terms,আলাপ শর্তাবলী
talk to,কথা বলা (ব্যক্তি)
talk together,একসঙ্গে কথা
talk turkey,তুরস্ক কথা
talk up,কথা বলা
talkative woman,মুখরা স্ত্রীলোক
talker identification,গল্পে সনাক্তকারী
talking back,ফিরে কথা
talking book,কথা বলা বই
talking head,মাথার কথা
talking machine,গ্রামোফোন
talking picture,কথা বলা ছবি
talking point,বিন্দু কথা
talking recklessly,বেপরোয়াভাবে কথা
talking to,তিরস্কার
tall bellflower,লম্বা ঝুমকা
tall bilberry,লম্বা বিলবেরী
tall building,লম্বা দালান
tall buttercup,লম্বা ঝুমকো
tall crowfoot,লম্বা পুষ্পবিশেষ
tall hat,মহৎ টুপি
tall mallow,লম্বা উদ্ভিদবিশেষ
tall oil,লম্বা তেল
tall order,মুশকিল সমস্যা
tall stature,লম্বা মর্যাদা
tall sunflower,লম্বা সূর্যমুখী
tall tale,লম্বা কাহিনী
tall talk,বড় বড় কথা
tall yellow-eye,লম্বা হলুদ চোখের
tallow chandler,যে চর্বির বাতি প্রস্তুত বা বিক্রয় করে
tallow drop,চর্বি ড্রপ
tallow oil,চর্বি তেল
tallow press,চর্বি সংবাদ
tallow refiner,চর্বি শোধন
tallow rendering,চর্বি রেন্ডারিং
tallow weed,চর্বি আগাছা
tally board,ট্যালি তৈরি বোর্ড
tally card,মিলপত্র
tally clerk,মিল-কেরানি
tally impression,মেলক ছাপ
tally iron,ট্যালি তৈরি লোহা
tally room,ট্যালি তৈরি রুম
tally sheet,ট্যালি তৈরি চাদর
tally shop,ট্যালি তৈরি দোকান
tally trade,ট্যালি তৈরি বাণিজ্য
talmudic literature,তালমূদের বর্ণনা সাহিত্য
tamale pie,টামালে পাই
tamarind fish,তেঁতুল মাছ
tamarind plum,তেঁতুল বরই
tamarind tree,আম্লা
tamarindus indica,তেঁতুল
tamarisk family,ঝাউ পরিবার
tambour lace,পটহ লেইস
tame pigeon,গৃহপালিত কপোত
tamil eelam,তামিল ইলম
tamil nadu,তামিলনাড়ু
tamil tigers,তামিল টাইগারদের
tampa bay,টাম্পা বে
tamper proof,তাপ নিরোধক
tamper screw,অবৈধ প্রভাব বিস্তার স্ক্রু
tamper with,বিনষ্ট
tandem bicycle,টমটম সাইকেল
tandem trailer,টমটম ট্রেলার
tandem wise,টমটম জ্ঞানী
tang dynasty,ট্যাং রাজবংশ
tangent plane,স্পর্শক সমতল
tangent point,স্পর্শক পয়েন্ট
tangentially related,তাৎপর্যপূর্ণভাবে সম্পর্কিত
tangerine tree,ট্যানজারিন বৃক্ষ
tangible possession,বাস্তব দখল
tangle orchid,জট অর্কিড
tangle picker,জট বাছাইকারী
tangle with,সঙ্গে জট
tank car,পেট্রলবাহী রেলগাড়ী
tank circuit,ট্যাংক সার্কিট
tank crew,ট্যাংক ক্রু
tank destroyer,ট্যাঙ্ক ধ্বংসকারী
tank driver,ট্যাংক চালক
tank engine,ট্যাংক ইঞ্জিন
tank farm,ট্যাংক খামার
tank farming,ট্যাংক চাষ
tank furnace,ট্যাংক চুল্লি
tank iron,ট্যাংক লোহা
tank liquor,ট্যাংক মদের
tank locomotive,ট্যাংক চারী
tank making,ট্যাংক তৈরি
tank room,ট্যাংক রুম
tank runner,ট্যাংক রানার
tank school,ট্যাঙ্ক স্কুল
tank shell,ট্যাংক শেল
tank ship,ট্যাংক জাহাজ
tank suit,ট্যাংক মামলা
tank top,ট্যাংক উপরে
tank town,ট্যাংক শহর
tank up,প্রচুর মদ্যপান করা
tank waste,ট্যাংক বর্জ্য
tanker plane,ট্যাঙ্কার বিমান
tanner's cassia,চামড়ার কাজ এর দারুচিনিতে
tannery fungus,ট্যানারি ছত্রাক
tannic acid,ট্যাঁনিক অ্যাসিড
tansy mustard,ট্যান্জি সরিষা
tansy-leaved rocket,ট্যান্জি পত্রী রকেট
tantalum fluoride,ট্যান্টালাম ফ্লোরাইড
tantalum lamp,ট্যান্টালাম বাতি
tantamount to,সম
taoist trinity,তাওবাদী ট্রিনিটি
tap bolt,ট্যাপ বল্টু
tap chuck,ট্যাপ প্রি়
tap cinder,ট্যাপ অঙ্গার
tap cutter,ট্যাপ কর্তনকারী
tap dance,ট্যাপনাচ
tap dancer,টোকা নর্তকী
tap dancing,টোকা নাচ
tap extractor,ট্যাপ নিষ্কর্ষক
tap funnel,ট্যাপ ফানেল
tap grinder,ট্যাপ পেষকদন্ত
tap holder,ট্যাপ ধারক
tap hole,ট্যাপহোল
tap holes,ট্যাপ গর্ত
tap hose,ট্যাপ পায়ের পাতার মোজাবিশেষ
tap house,বিয়ার পরিবেশনের কক্ষ
tap houses,ট্যাপ ঘর
tap line,ট্যাপ লাইন
tap out,আউট টোকা
tap rate,ট্যাপ হার
tap rivet,ট্যাপ নাচি
tap room,বিয়ার পরিবেশনের কক্ষ
tap rooms,কক্ষ ট্যাপ
tap root,প্রধান মূল
tap screw,ট্যাপ স্ক্রু
tap tool,ট্যাপ টুল
tap water,কলের পানি
tape deck,টেপ ডেক
tape down,নিচে টেপ
tape drive,টেপ ড্রাইভ
tape drives,টেপ ড্রাইভ
tape grass,টেপ ঘাস
tape machine,টেপ মেশিন
tape making,টেপ তৈরীর
tape marks,টেপ চিহ্ন
tape measure,দৈঘ্র্য মাপার ফিতা
tape on,টেপ
tape price,টেপ মূল্য
tape reading,টেপ পড়া
tape recorder,টেপ রেকর্ডার
tape recording,টেপ রেকর্ডিং
tape sizer,টেপ মানদণ্ড
tape thermometer,টেপ থার্মোমিটার
tape up,টেপ আপ
taper drill,মোমবাতি ড্রিল
taper file,মোমবাতি ফাইল
taper gauge,মোমবাতি গেজ
taper off,মোমবাতি বন্ধ
taper pin,মোমবাতি পিন
taper tap,মোমবাতি ট্যাপ
tapering off,বন্ধ সরুকারী
tapestry glass,ট্যাপেষ্ট্রি গ্লাস
tapestry moth,ট্যাপেষ্ট্রি মথ
tapestry painting,ট্যাপেষ্ট্রি পেইন্টিং
tapeworm infection,ফিতাক্রিমি সংক্রমণ
tapioca plant,ট্যাপিওকা উদ্ভিদ
tapir mouth,শূকরের মতো জন্তুবিশেষ মুখ
tappa bark,টপ্পা বাকল
tappet wrench,ট্যাপিট্ রেঞ্চ
tapping chuck,লঘুপাত প্রি়
tapping clay,লঘুপাত কাদামাটি
tapping hole,লঘুপাত গর্ত
tapping teeth,দাঁত টোকানো
tar baby,আলকাতরা শিশুর
tar base,আলকাতরা বেস
tar concrete,আলকাতরা কংক্রিট
tar distillate,আলকাতরা চোলাই
tar distiller,আলকাতরা চোলাইকারী
tar drum,আলকাতরা ড্রাম
tar macadam,আলকাতরা প্রস্তরখণ্ড
tar paper,আলকাতরা কাগজ
tar pool,আলকাতরা পুল
tar sand,আলকাতরা বালি
tar spot,আলকাতরা স্পট
tar still,আলকাতরা এখনও
tar well,ভাল আলকাতরা
tarantella dance,নেইপল্সের নৃত্য
tarantula hawk,বিষাক্ত মাকড়সা বাজপাখি
tarantula spider,বিষাক্ত মাকড়সা স্পাইডার
tare room,কড়তা রুম
target area,টার্গেট এলাকা
target cell,লক্ষ্য সেল
target language,চিহ্নিত ভাষা
target meeting,লক্ষ্য সভা
target organ,লক্ষ্য অঙ্গ
target practice,চাঁদমারী
target range,লক্ষ্যসীমা
target spot,লক্ষ্য স্পট
tariff duty,ট্যারিফ দায়িত্ব
tariff maker,ট্যারিফ সৃষ্টিকর্তা
